       x [mm]         y [mm]         z [mm]   xRe [V.s/m^2]  yRe [V.s/m^2]  zRe [V.s/m^2]  
----------------------------------------------------------------------------------------------
          -70            -70            -70   -0.000217803     0.00013681    4.1561e-005
          -65            -70            -70   -0.000275249    0.000139499   4.31859e-005
          -60            -70            -70   -0.000335605    0.000141729   4.51842e-005
          -55            -70            -70   -0.000397151    0.000143842   4.67482e-005
          -50            -70            -70   -0.000460123    0.000144076   4.76835e-005
          -45            -70            -70   -0.000525437    0.000142262   4.79071e-005
          -40            -70            -70   -0.000588488    0.000139127   4.76587e-005
          -35            -70            -70   -0.000651757    0.000132721   4.66385e-005
          -30            -70            -70   -0.000712094    0.000122369   4.38267e-005
          -25            -70            -70   -0.000766366    0.000108994   3.94332e-005
          -20            -70            -70   -0.000815054   9.22125e-005   3.37766e-005
          -15            -70            -70   -0.000855491   7.27198e-005   2.69709e-005
          -10            -70            -70   -0.000885096   4.99388e-005   1.86307e-005
           -5            -70            -70   -0.000903684   2.54388e-005   9.55223e-006
            0            -70            -70   -0.000909623   -1.1534e-007  -6.69043e-008
            5            -70            -70   -0.000903407  -2.52959e-005  -9.40801e-006
           10            -70            -70   -0.000884976  -4.97886e-005  -1.85917e-005
           15            -70            -70   -0.000854983  -7.25294e-005  -2.70436e-005
           20            -70            -70   -0.000814862  -9.24769e-005  -3.39512e-005
           25            -70            -70   -0.000766762   -0.000108936   -3.9525e-005
           30            -70            -70   -0.000711603   -0.000122039  -4.34816e-005
           35            -70            -70   -0.000653234   -0.000132162  -4.68689e-005
           40            -70            -70   -0.000589382   -0.000138991  -4.79697e-005
           45            -70            -70    -0.00052514   -0.000142571  -4.82362e-005
           50            -70            -70    -0.00046126   -0.000144062   -4.7454e-005
           55            -70            -70    -0.00039817   -0.000143623  -4.62103e-005
           60            -70            -70   -0.000336126   -0.000142094  -4.45529e-005
           65            -70            -70   -0.000275329   -0.000139578  -4.31524e-005
           70            -70            -70   -0.000216874   -0.000136482  -4.11722e-005
          -70            -65            -70   -0.000214604    0.000165247   4.63848e-005
          -65            -65            -70   -0.000272419    0.000168653   4.85054e-005
          -60            -65            -70   -0.000333513    0.000172308   5.10732e-005
          -55            -65            -70   -0.000396488     0.00017457   5.34921e-005
          -50            -65            -70   -0.000461918    0.000175205   5.45703e-005
          -45            -65            -70   -0.000526736    0.000174357   5.60595e-005
          -40            -65            -70   -0.000594396     0.00017033    5.6246e-005
          -35            -65            -70   -0.000660226    0.000163054   5.50824e-005
          -30            -65            -70   -0.000723641     0.00015052   5.25009e-005
          -25            -65            -70   -0.000783721    0.000134002   4.73963e-005
          -20            -65            -70   -0.000835377    0.000113879   4.05825e-005
          -15            -65            -70   -0.000878858    8.9508e-005   3.22131e-005
          -10            -65            -70   -0.000911765   6.17055e-005   2.27092e-005
           -5            -65            -70   -0.000931692   3.13817e-005   1.14909e-005
            0            -65            -70   -0.000938774   2.39626e-008   1.34859e-007
            5            -65            -70   -0.000931704  -3.10807e-005  -1.14943e-005
           10            -65            -70   -0.000911345  -6.16975e-005  -2.27284e-005
