-30	-30	68	-6.3	2.36	-8
-20	-30	68	-8.8	1.73	-5.9
-10	-30	68	-10.6	0.63	-2.7
0	-30	68	-11.23	-0.7	1.17
10	-30	68	-10.34	-2.03	5
20	-30	68	-8.27	-3.07	8
30	-30	68	-5.65	-3.7	9.8
-30	-20	68	-6.72	1.52	-9.25
-20	-20	68	-9.7	1.07	-6.8
-10	-20	68	-11.86	0.3	-3.1
0	-20	68	-12.53	-0.4	1.16
10	-20	68	-11.44	-1.64	5.9
20	-20	68	-9.06	-2.4	9.4
30	-20	68	-6	-2.82	11.4
-30	-10	68	-7	0.35	-10
-20	-10	68	-10.28	0.23	-7.4
-10	-10	68	-12.67	-0.1	-3.3
0	-10	68	-13.45	-0.5	1.7
10	-10	68	-12.24	-0.9	6.63
20	-10	68	-9.56	-1.25	10.42
30	-10	68	-6.19	-1.42	12.51
-30	0	68	-7.1	-0.92	-10.2
-20	0	68	-10.5	-0.77	-7.47
-10	0	68	-12.97	-0.52	-3.24
0	0	68	-13.75	-0.25	1.9
10	0	68	-12.5	0	6.95
20	0	68	-9.75	0.17	10.8
30	0	68	-6.23	0.24	12.9
-30	10	68	-7	-2.12	-9.62
-20	10	68	-10.26	-1.65	-6.98
-10	10	68	-12.64	-0.91	-2.93
0	10	68	-13.38	0.01	2
10	10	68	-12.2	0.89	6.77
20	10	68	-9.54	1.55	10.4
30	10	68	-6.2	1.89	12.4
-30	20	68	-6.77	-3.01	-8.44
-20	20	68	-9.69	-2.3	-6.06
-10	20	68	-11.8	-1.13	-2.43
0	20	68	-12.45	0.27	1.94
10	20	68	-11.38	1.62	6.15
20	20	68	-9	2.64	9.46
30	20	68	-5.97	3.18	11.31
-30	30	68	-6.32	-3.48	-6.93
-20	30	68	-8.8	-2.81	-4.87
-10	30	68	-10.57	-1.21	-1.8
0	30	68	-11.1	0.44	1.8
10	30	68	-10.28	2.04	5.33
20	30	68	-8.2	3.26	8.1
30	30	68	-5.61	3.96	9.7
